channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber
Nonprofit,KZ,"Jan 14th, 2014",$658 - $10.5K,$7.9K - $126.4K,B,90,17765,216974,187,39887041,120,2632470,Ruslan Zhanpeissov
Nonprofit,CO,"Mar 27th, 2015",$560 - $9K,$6.7K - $107.4K,B,303,9731,196380,1388,51726673,95,2238060,Informativo Mega
Nonprofit,BR,"Oct 13th, 2011",$783 - $12.5K,$9.4K - $150.4K,B,2,9769,139476,331,64285600,4,3132810,sergio valério do sacramento
Nonprofit,BA,"Jun 19th, 2009",$724 - $11.6K,$8.7K - $138.9K,B,11,3706,70390,154,55583497,1,2894490,Lara Of Bosnia Save Our Planet
Nonprofit,US,"Sep 22nd, 2008",$777 - $12.4K,$9.3K - $149.2K,B,-78,5719,237221,1093,122689374,2,3108630,Global Citizen
Nonprofit,ID,"Aug 25th, 2015",$559 - $8.9K,$6.7K - $107.3K,B,42,16707,156552,124,69058061,32,2235210,SETIAKU Indonesia
Nonprofit,RU,"May 26th, 2009",$781 - $12.5K,$9.4K - $150K,B,59,8549,113225,114,57739170,27,3125490,RUTV1
Nonprofit,RU,"Jul 11th, 2015",$668 - $10.7K,$8K - $128.3K,B,27,7657,189254,1577,69461706,49,2672520,ZAMONA UZ tv
Nonprofit,TH,"Jun 1st, 2015",$642 - $10.3K,$7.7K - $123.2K,B,38,15849,165857,466,29633742,49,2567610,สามอาชีพ…
Nonprofit,US,"Jun 30th, 2012",$639 - $10.2K,$7.7K - $122.7K,B,91,33629,389179,431,50011084,36,2556870,असली प्रैक्टिकल…
Nonprofit,RU,"Dec 31st, 2010",$797 - $12.7K,$9.6K - $152.9K,B,1,6792,81882,749,62324418,16,3186450,Сергей Кит
Nonprofit,ES,"Jan 19th, 2012",$887 - $14.2K,$10.6K - $170.3K,B,520,7002,12579,677,5424689,465,3547560,Santuario Vegan
Nonprofit,BR,"Sep 23rd, 2011",$754 - $12.1K,$9K - $144.7K,B,9,12555,422504,1188,131951938,23,3014160,MensagemdeDeus1
Nonprofit,,"Apr 3rd, 2014",$613 - $9.8K,$7.4K - $117.7K,B,87,23665,108730,428,12700369,95,2452170,I Support Baba Ramdev
Nonprofit,ES,"May 16th, 2008",$854 - $13.7K,$10.2K - $163.9K,B,354,1642,20900,2707,81107998,1,3415230,laCaixaTV
Nonprofit,GB,"Dec 29th, 2007",$824 - $13.2K,$9.9K - $158.1K,B,2,16993,240312,107,56713442,11,3294510,Nitin Tomer
Nonprofit,TR,"May 28th, 2013",$903 - $14.5K,$10.8K - $173.5K,B,7,27617,1204840,443,124369669,12,3613620,Hayalhanem
Nonprofit,AU,"Jan 16th, 2012",$769 - $12.3K,$9.2K - $147.6K,B,4,7065,178315,39,48070129,29,3074520,Hillsong En Español
Nonprofit,UA,"Jan 31st, 2013",$823 - $13.2K,$9.9K - $158K,B,-30,12053,246976,134,39519433,-11,3291840,Ольга Шарий
Nonprofit,US,"Jul 25th, 2016",$622 - $9.9K,$7.5K - $119.3K,B,-18,16964,95749,372,11846977,16,2486010,Sinatra_Says
Nonprofit,TW,"May 24th, 2016",$844 - $13.5K,$10.1K - $162K,B,-2,2673,60340,2920,55615709,4,3374280,大愛網路劇場 DaAiDrama
Nonprofit,US,"Aug 19th, 2006",$705 - $11.3K,$8.5K - $135.3K,B,7,12762,43832,71,18721325,2,2819340,Shelley Lubben
Nonprofit,US,"Dec 15th, 2008",$552 - $8.8K,$6.6K - $106K,B,150,6108,179824,1218,114765047,108,2208360,roadcontrol
Nonprofit,US,"Nov 25th, 2013",$792 - $12.7K,$9.5K - $152.1K,B,-46,2856,67610,1418,68615095,-20,3167850,jose pacheco
Nonprofit,IN,"Oct 8th, 2009",$869 - $13.9K,$10.4K - $166.8K,B,23,8360,100650,4,38157536,15,3475410,soumya ranjan swain
Nonprofit,US,"Aug 28th, 2015",$880 - $14.1K,$10.6K - $168.9K,B,-13,3639,110815,575,126500656,2,3518790,Rise Up Society Fan Page
Nonprofit,US,"Apr 21st, 2006",$879 - $14.1K,$10.5K - $168.8K,B,7,9196,407154,5385,469563475,15,3516570,SEKAMOKE FOUNDATION A US 501c3 Tax Charity
Nonprofit,IN,"Sep 23rd, 2013",$815 - $13K,$9.8K - $156.5K,B,15,56880,687670,3054,61344987,2,3260970,Acharya Balkrishna
Nonprofit,,"Feb 28th, 2013",$924 - $14.8K,$11.1K - $177.4K,B,-21,4102,11817,8,12820536,-15,3695460,ToiletThink
Nonprofit,US,"Dec 31st, 2007",$1.8K - $28.9K,$21.7K - $346.6K,B,-40,55508,487339,404,48447163,-32,7219980,Bangla InfoTube
Nonprofit,NZ,"May 9th, 2017",$966 - $15.5K,$11.6K - $185.4K,B,117,28913,154863,1475,24363831,110,3862920,Harnek Singh New Zealand
Nonprofit,BR,"Dec 2nd, 2015",$964 - $15.4K,$11.6K - $185.1K,B,,0,0,1579,46286720,7,3857160,Telenovelas Mexicanas World
Nonprofit,RU,"Sep 10th, 2012",$782 - $12.5K,$9.4K - $150.1K,B,57,15640,134064,6554,30855824,43,3126180,Телеканал «СПАС»
Nonprofit,SA,"Dec 29th, 2008",$610 - $9.8K,$7.3K - $117K,B,-33,5189,422533,9197,117113109,78,2438490,فورشباب 4shbab
Nonprofit,IN,"May 9th, 2009",$722 - $11.5K,$8.7K - $138.5K,B,509,2611,4900,13,4717118,442,2886150,Susan Malakar
Nonprofit,PK,"May 21st, 2008",$962 - $15.4K,$11.5K - $184.7K,B,18,26453,428997,46,44379204,5,3847860,TheFinalRevelation
Nonprofit,CA,"Aug 1st, 2011",$882 - $14.1K,$10.6K - $169.3K,B,22,11531,216787,905,52377346,64,3526830,Samira Arbid
Nonprofit,RU,"Mar 29th, 2014",$915 - $14.6K,$11K - $175.7K,B,106,13452,93899,179,24003350,189,3660840,ЗВУКИ ММА
Nonprofit,BR,"Mar 29th, 2017",$911 - $14.6K,$10.9K - $174.8K,B,8,38617,657011,532,45396480,39,3642480,Minuto Com Deus Animações
Nonprofit,SA,"Jul 11th, 2012",$937 - $15K,$11.2K - $179.9K,B,12,33033,627716,17413,106500386,16,3747810,haramaininfo
Nonprofit,JP,"Apr 26th, 2016",$901 - $14.4K,$10.8K - $172.9K,B,-17,4177,124407,192,94971509,-10,3602370,Barrikada
Nonprofit,RU,"Feb 17th, 2015",$779 - $12.5K,$9.4K - $149.6K,B,20,14023,407498,68,67885878,23,3116760,ЛЕВ ПРОТИВ 2 канал
Nonprofit,IN,"Feb 27th, 2015",$979 - $15.7K,$11.7K - $188K,B,9,11737,189563,199,56595905,12,3916170,ॐ नमः शिवाय
Nonprofit,,"Dec 27th, 2010",$1.1K - $17.9K,$13.4K - $214.4K,B,-35,21865,535671,597,82202224,-3,4466940,Derrick Jaxn
Nonprofit,US,"Dec 23rd, 2009",$967 - $15.5K,$11.6K - $185.7K,B,-10,9320,363067,1380,113677484,1,3868920,Canal Mormón
Nonprofit,US,"Oct 30th, 2012",$944 - $15.1K,$11.3K - $181.3K,B,-29,601,6976,153,19440062,-1,3777390,Covered California
Nonprofit,KG,"Jan 21st, 2015",$931 - $14.9K,$11.2K - $178.8K,B,63,19133,291454,4163,81224517,649,3725310,Оштв Каналы
Nonprofit,IN,"Nov 25th, 2006",$741 - $11.9K,$8.9K - $142.3K,B,3,13443,235253,2705,38757314,-760,2964540,Jesus Calls
Nonprofit,KZ,"May 21st, 2010",$1K - $16.2K,$12.2K - $194.5K,B,-48,12912,279155,38627,113984144,-33,4053120,Телеканал Алматы / Almaty TV
Nonprofit,FR,"Sep 29th, 2007",$1K - $16.7K,$12.5K - $200.2K,B,52,5474,116176,1086,215887671,64,4171320,PrimeCrimeRu
Nonprofit,KZ,"Mar 28th, 2015",$763 - $12.2K,$9.2K - $146.6K,B,183,11166,93372,454,29745683,285,3053850,LIFE KZ
Nonprofit,IN,"Sep 13th, 2007",$1.1K - $18K,$13.5K - $215.8K,B,27,12106,281694,162,140055800,34,4496070,DivineTemples Store
Nonprofit,RU,"Feb 16th, 2010",$1.7K - $26.5K,$19.9K - $317.8K,B,91,16636,955724,382,232773104,47,6621330,Не может быть
Nonprofit,BY,"Apr 5th, 2012",$1.2K - $19.8K,$14.9K - $237.6K,B,16,8192,161865,37777,145687888,22,4950780,Телеканал ОНТ
Nonprofit,SA,"Apr 28th, 2011",$1.6K - $26.1K,$19.6K - $312.9K,B,6,17885,472407,72,230564844,7,6518430,المخرج خالد المنصور
Nonprofit,IN,"Dec 29th, 2016",$1.2K - $18.6K,$13.9K - $223.1K,B,19,17768,364489,36,120173045,9,4647030,Krishna
Nonprofit,CN,"May 22nd, 2013",$1.1K - $17.5K,$13.1K - $210K,B,-12,3861,168208,25078,192269435,4,4375080,CCTV社会与法
Nonprofit,CH,"Jul 31st, 2013",$1K - $16.1K,$12.1K - $193.3K,B,-30,12592,191181,1037,62234338,-16,4027560,Таня Карацуба…
Nonprofit,US,"Mar 17th, 2007",$1K - $16.5K,$12.4K - $198.2K,B,52,4450,93975,9,15791064,62,4128960,YouTube Social Impact
Nonprofit,IN,"Jun 19th, 2010",$1.4K - $22.2K,$16.7K - $266.5K,B,90,25154,134115,2581,31899768,86,5551530,SHYAM SADHU
Nonprofit,US,"Aug 7th, 2008",$1.2K - $19.8K,$14.9K - $237.7K,B,-35,13818,806308,2437,296411779,-55,4951230,Mormon Channel
Nonprofit,US,"Sep 8th, 2014",$922 - $14.7K,$11.1K - $176.9K,B,120,21868,272692,234,53824473,119,3686040,Black Jaguar White Tiger
Nonprofit,,"May 9th, 2012",$1.2K - $18.8K,$14.1K - $225.2K,B,4,21844,291279,4427,75355213,8,4691010,EMCI TV
Nonprofit,DE,"Nov 16th, 2012",$1.2K - $19.4K,$14.6K - $232.9K,B,5,940,4285,34,19827659,313,4851750,Danone D-A-CH
Nonprofit,US,"Jul 25th, 2006",$1.3K - $20.2K,$15.1K - $242.3K,B,41,39189,675864,311,81550861,25,5048070,Joel Osteen
Nonprofit,BR,"Mar 18th, 2016",$2.2K - $35.7K,$26.8K - $428.2K,B,1,25824,70056,1063,22604466,3,8920440,0n Line
Nonprofit,,"Sep 29th, 2009",$1.4K - $23.1K,$17.3K - $276.7K,B,36,920,5924,150,20071000,96,5765190,breathefreetv
Nonprofit,US,"Jun 12th, 2009",$1.3K - $21.5K,$16.1K - $257.9K,B,-1,233,13396,658,53964374,13,5373810,SouthCoastAQMD
Nonprofit,SA,"Nov 10th, 2011",$1.3K - $20.1K,$15.1K - $240.9K,B,2,37793,379070,615,73696151,11,5018970,قناة منوعات إسلامية
Nonprofit,,"Sep 16th, 2015",$1.3K - $20.5K,$15.4K - $246.5K,B,-4,28445,78677,864,12816173,11,5136330,Regivando alves
Nonprofit,KR,"Apr 25th, 2011",$1.4K - $22.2K,$16.6K - $266.4K,B,46,1655,23986,1894,39459635,575,5549850,대한민국 보건복지부
Nonprofit,TH,"Feb 11th, 2013",$1.5K - $24.3K,$18.2K - $292K,B,-13,760,59580,1851,99882953,-13,6082350,SocialMarketingTH
Nonprofit,TH,"Jul 20th, 2011",$1.3K - $21.5K,$16.2K - $258.5K,B,-3,13782,266880,821,109541817,9,5385600,ThaiHealthMedia
Nonprofit,RU,"Nov 26th, 2014",$1.6K - $26.4K,$19.8K - $316.6K,B,-36,8295,366544,32041,425340193,-11,6596130,News-Front
Nonprofit,RU,"Aug 30th, 2017",$2K - $31.9K,$23.9K - $382.3K,B,-19,30494,196496,135,47623718,-6,7964190,Всё о тюрьме
Nonprofit,DE,"Jun 20th, 2012",$1.4K - $22.5K,$16.9K - $269.7K,B,46,14526,165417,282,42810541,52,5619750,VDSIS - Von der Strasse ins Studio
Nonprofit,KR,"Nov 3rd, 2011",$1.2K - $19.4K,$14.5K - $232.3K,B,1,1292,28423,404,88620797,18,4838730,samsamstory
Nonprofit,US,"Dec 21st, 2015",$1.6K - $25.5K,$19.1K - $306.3K,B,1,52404,329052,6172,36449993,872,6382050,VPItv
Nonprofit,UG,"Jul 23rd, 2016",$1K - $16.5K,$12.3K - $197.5K,B,98,1801,17146,716,15728518,62,4115040,The Kakande Ministries
Nonprofit,KR,"Jan 14th, 2011",$2.2K - $35.8K,$26.9K - $429.8K,B,9,642437,663013,270,13073794,3,8954610,사람사는세상노무현재단
Nonprofit,IN,"Dec 21st, 2010",$1.8K - $29.3K,$21.9K - $351.1K,B,-8,68628,1072860,7760,160600130,-19,7314960,Bharat Swabhiman
Nonprofit,,"Jan 12th, 2016",$1.5K - $23.2K,$17.4K - $278.7K,B,856,508,1662,148,13514861,3,5805450,Зарплата.ру
Nonprofit,PE,"Jun 28th, 2007",$1.5K - $24.2K,$18.2K - $290.5K,B,16,9629,215596,3282,118300613,62,6051930,Bethel Televisión
Nonprofit,UA,"Mar 24th, 2010",$2.5K - $39.9K,$30K - $479.2K,B,3,1138,17703,548,81365628,25,9983670,Kyivstar
Nonprofit,US,"Oct 9th, 2013",$2K - $31.9K,$23.9K - $382.6K,B,38,16519,260576,201,103575464,31,7969890,New Wine Music
Nonprofit,RU,"Apr 18th, 2016",$2.1K - $34.1K,$25.5K - $408.6K,B,,0,0,119,21347401,136,8513400,ИНФОРМАТИЗАЦИЯ
Nonprofit,RU,"Dec 11th, 2008",$2.2K - $35.8K,$26.8K - $429.5K,B,9,37748,625384,652,98478326,11,8948640,varlamov
Nonprofit,VN,"Jun 8th, 2012",$2.6K - $42.1K,$31.6K - $505.6K,B,59,5167,74421,364,87114647,313,10532760,Wilmar CLV
Nonprofit,BR,"Nov 15th, 2014",$2.5K - $39.4K,$29.5K - $472.6K,B,21,42825,1019462,2220,220332859,45,9846330,Notícias Live
Nonprofit,KR,"Dec 18th, 2009",$2.4K - $37.7K,$28.3K - $452.5K,B,-91,22930,300489,555,157191674,36,9426090,법륜스님의 희망세상만들기
Nonprofit,IN,"Jul 27th, 2011",$2.9K - $45.8K,$34.4K - $549.9K,B,-30,46070,715416,1855,175213179,-13,11456520,Emm Pee
Nonprofit,,"Oct 2nd, 2016",$3.8K - $60.4K,$45.3K - $724.6K,B,122,17166,149982,196,145509388,93,15096750,Yakari Matata Plus
Nonprofit,BR,"Oct 17th, 2014",$2.7K - $43.4K,$32.6K - $520.9K,B+,-11,66639,1426930,1569,159496614,17,10852920,MBL - Movimento Brasil Livre
Nonprofit,KE,"Nov 12th, 2012",$2.7K - $43K,$32.2K - $516K,B+,-35,9397,181953,1146,64558993,19,10749390,Jim Nduruchi RUS
Nonprofit,US,"Jan 3rd, 2007",$2.8K - $44.6K,$33.5K - $535.5K,B+,-180,389,296378,293,92972310,68,11157270,truthorange
Nonprofit,US,"Nov 16th, 2011",$3.5K - $55.9K,$41.9K - $671.1K,B+,-32,39520,161089,136,47592704,-17,13981920,Southeastern Guide Dogs
Nonprofit,RU,"Mar 7th, 2014",$2.1K - $32.9K,$24.7K - $394.4K,B+,88,236,12008,26,30675817,182,8217690,Фруктовый Сад
Nonprofit,RU,"Jul 30th, 2012",$2.2K - $34.9K,$26.2K - $418.4K,B+,53,457,3509,166,29900744,144,8717250,POLARIS OFFICIAL
Nonprofit,UA,"Oct 12th, 2009",$4K - $64.4K,$48.3K - $773K,B+,21,34316,662119,16675,494699283,15,16104030,Телеканал ICTV
Nonprofit,JP,"Jan 10th, 2008",$3.4K - $54.5K,$40.9K - $653.7K,B+,159,735,8223,1090,39591722,254,13619430,日本財団
Nonprofit,RU,"Oct 5th, 2010",$0 - $0,$0 - $0,B+,-71,3476,215363,412,198660442,-208,-35136300,McDonaldsRussia
Nonprofit,RU,"Nov 7th, 2006",$4.8K - $76.2K,$57.1K - $913.8K,B+,16,35655,657019,8202,501748010,12,19037910,TV Center
Nonprofit,IN,"Sep 12th, 2010",$4.8K - $76.8K,$57.6K - $921.3K,B+,33,188441,1733282,3145,221275456,19,19194150,Swami Ramdev
Nonprofit,IN,"Apr 13th, 2007",$4.4K - $69.8K,$52.3K - $837.3K,B+,101,59758,583273,73,175048990,110,17443170,Nitin Das
Nonprofit,,"Nov 5th, 2015",$4.8K - $77.1K,$57.8K - $924.7K,B+,55,47186,1343396,1349,605068698,46,19264260,Пусть говорят
Nonprofit,US,"Jan 30th, 2010",$9K - $143.4K,$107.6K - $1.7M,B+,1,190232,2376474,364,320363038,5,35856600,Jubilee
Nonprofit,US,"Nov 1st, 2016",$7.4K - $117.8K,$88.4K - $1.4M,B+,,0,65625,136,65189370,36,29455020,Thai Massage
Nonprofit,IN,"Mar 3rd, 2009",$10.4K - $166K,$124.5K - $2M,A-,32,157259,589132,202,155508462,47,41490600,Soul Desire
Nonprofit,US,"Jun 23rd, 2009",$19.9K - $318.3K,$238.7K - $3.8M,A,2,505436,16685411,127135,3026586903,11,79575300,TEDx Talks
People,,"Oct 20th, 2009",$7K - $112.3K,$84.2K - $1.3M,B+,15,52723,990312,607,491878474,9,28063350,AttitudePOP
People,,"May 15th, 2018",$6.5K - $104.8K,$78.6K - $1.3M,B+,15,59949,842463,385,299012599,17,26188770,Cocho Late TV ツ
People,DO,"Sep 12th, 2011",$4.9K - $77.7K,$58.3K - $932.6K,B+,-14,37666,696883,58,141783447,98,19430160,Musicologo The Libro
People,JP,"Nov 1st, 2013",$6.5K - $103.7K,$77.8K - $1.2M,B+,83,28556,1625664,1170,993951209,57,25937160,Kids Of Ninja
People,,"Sep 14th, 2013",$8.6K - $138.1K,$103.6K - $1.7M,B+,12,110814,1525440,546,415317071,1,34518900,KINGOFDARKNESSCERBERUS АИД
People,,"Jun 28th, 2017",$7K - $111.4K,$83.5K - $1.3M,B+,48,231904,1116925,178,117280453,49,27837540,Christian Merck Grey
People,US,"Feb 15th, 2010",$6.9K - $110.3K,$82.7K - $1.3M,B+,17,134471,10890958,993,2483665198,11,27574380,CaseyNeistat
People,TR,"Apr 11th, 2017",$8.4K - $133.9K,$100.5K - $1.6M,B+,18,267862,2521807,164,271258371,20,33483600,Deli Mi Ne?
People,GB,"Jun 29th, 2017",$9.3K - $149.4K,$112K - $1.8M,B+,-4,154878,2008461,254,431203548,0,37346700,Classic Mr Bean
People,KR,"Feb 10th, 2015",$7.3K - $116.2K,$87.2K - $1.4M,B+,272,229290,359001,543,48169250,384,29057400,유디티TV
People,BR,"Nov 28th, 2014",$0 - $0,$0 - $0,B+,-88,1268,328951,62,15606053,-515,-4249890,Natália Lima
People,SA,"May 29th, 2015",$9.6K - $154.2K,$115.7K - $1.9M,B+,7,183145,2096506,332,457607999,-17,38556900,عصابة بدر Badr_Family
People,IN,"Dec 3rd, 2016",$7.7K - $123.8K,$92.8K - $1.5M,B+,32,97492,1941904,842,525656240,19,30937800,COMEDY SONOTEK
People,US,"Nov 12th, 2013",$11.6K - $184.9K,$138.7K - $2.2M,B+,-14,187853,4810003,99,314417591,29,46224900,Patty Mayo
People,TH,"Jan 20th, 2018",$8.1K - $128.9K,$96.7K - $1.5M,B+,13,259358,3145675,136,278265031,34,32224500,PEACH EAT LAEK
People,TH,"Jul 23rd, 2016",$7.6K - $121K,$90.7K - $1.5M,B+,20,99991,835433,166,238198139,26,30241500,Fairy Doll TV
People,BR,"Apr 24th, 2015",$3.9K - $62.7K,$47K - $752.3K,B+,15,63251,65564,754,16469087,6,15672720,reinaldo mendes
People,ID,"Dec 23rd, 2015",$7.8K - $125.4K,$94K - $1.5M,B+,11,52661,570052,1275,385766774,11,31340400,Elta Record
People,UA,"Feb 8th, 2016",$11.2K - $179.6K,$134.7K - $2.2M,B+,-38,124799,1173945,142,325015561,-21,44890200,* KIDS Daisy Best
People,,"Apr 30th, 2016",$8.5K - $135.3K,$101.5K - $1.6M,B+,-1,59596,840848,40,397323455,28,33824100,PugPiano
People,IN,"Dec 1st, 2015",$10.1K - $161.8K,$121.3K - $1.9M,B+,-2,120749,2302542,12549,1075158456,-21,40446600,Saas Bahu Aur Betiyaan
People,AE,"Nov 21st, 2014",$8.5K - $135.3K,$101.4K - $1.6M,B+,14,54574,1451477,3167,1179276920,2,33813900,Golden Line for TV Production and…
People,TR,"Jun 1st, 2018",$10.2K - $162.5K,$121.9K - $2M,B+,-45,52690,1249189,513,619091717,-48,40627500,Erkenci Kuş
People,,"Apr 15th, 2015",$6.3K - $101.1K,$75.8K - $1.2M,B+,287,34947,204317,221,111884406,1,25275810,Big Bang Theory
People,ES,"Jan 9th, 2017",$7K - $111.6K,$83.7K - $1.3M,B+,,0,404016,2420,220853616,23,27888030,Periodico VIRAL
People,US,"Aug 26th, 2017",$9K - $144.4K,$108.3K - $1.7M,B+,133,185100,273458,88,53664739,118,36111300,Survival skills Anywhere
People,JP,"Jul 25th, 2007",$8.8K - $140.6K,$105.5K - $1.7M,B+,-15,50473,1559963,1222,2129468987,16,35160000,kougeisha
People,,"Apr 6th, 2018",$8.3K - $132.1K,$99K - $1.6M,B+,-25,101602,265289,5,60645424,40,33015600,Lunay
People,MX,"Dec 12th, 2016",$17.2K - $275.5K,$206.6K - $3.3M,B+,181,72808,188614,100,153515623,112,68866800,Amazon Prime Video Mexico
People,,"Jul 14th, 2014",$7.7K - $123.4K,$92.5K - $1.5M,B+,-5,212540,3959451,210,871519353,-23,30837600,RE -research
People,ID,"Oct 3rd, 2010",$13.4K - $214.4K,$160.8K - $2.6M,B+,26,321848,934507,630,142522415,73,53608800,Bobby Stuntrider
People,US,"Nov 29th, 2016",$8.6K - $137.9K,$103.4K - $1.7M,B+,128,202407,2928013,383,468901498,108,34481700,Kyler and Mad
People,US,"Mar 16th, 2015",$8.7K - $139.8K,$104.9K - $1.7M,B+,11,80754,1544772,680,630095595,18,34953300,Gym4u
People,PK,"Nov 19th, 2015",$8.7K - $138.5K,$103.9K - $1.7M,B+,-3,152882,1995485,3322,494574268,0,34620300,Kch Multimedia Naat
People,US,"Sep 9th, 2015",$8.7K - $139.7K,$104.8K - $1.7M,B+,5,107801,4044705,207,219204842,22,34935900,Vania Mania Kids
People,IN,"Jul 21st, 2015",$8.5K - $136.4K,$102.3K - $1.6M,B+,-14,375168,2998939,99,253475401,270,34087500,Girliyapa
People,BR,"Nov 1st, 2016",$7.8K - $124.8K,$93.6K - $1.5M,B+,14,112586,2404096,85,658000320,29,31196400,Galinha Pintadinha Mini
People,AR,"Nov 25th, 2016",$10.6K - $169.7K,$127.3K - $2M,B+,0,91730,864433,25,366556025,1,42432600,Damas Gratis Oficial
People,BR,"May 10th, 2007",$8.1K - $129.2K,$96.9K - $1.5M,B+,16,111967,6229348,1433,2004350734,12,32290200,Flavia Calina
People,,"Jan 7th, 2014",$8.2K - $130.8K,$98.1K - $1.6M,B+,23,90883,449068,154,163811723,36,32710200,Family Box VLOG
People,,"Jul 2nd, 2016",$4.3K - $68.9K,$51.7K - $826.6K,B+,,0,0,159,22053970,-200,17220210,Upasana sketch and art (Usa)
People,VN,"May 10th, 2016",$6K - $95.7K,$71.8K - $1.1M,B+,28,3666,61164,118,104006452,269,23936940,Abbott Nutrition Vietnam
People,,"Apr 27th, 2011",$8.9K - $142.9K,$107.2K - $1.7M,B+,128,78509,356781,169,190056925,75,35725200,Fabricio Moreira
People,US,"Mar 5th, 2013",$8.2K - $131K,$98.2K - $1.6M,B+,543,144978,2322425,35,33396634,60,32737800,MATCH OF THE DAY
People,SA,"Sep 8th, 2016",$8.9K - $142.7K,$107K - $1.7M,B+,34,64182,1102325,363,322620827,47,35672700,skysoul سكاي سول l
People,KH,"Nov 8th, 2015",$8.6K - $138.1K,$103.6K - $1.7M,B+,31,91274,1058246,690,394005113,15,34518300,Sunday Production Official
People,,"Nov 3rd, 2017",$7.8K - $124.2K,$93.1K - $1.5M,B+,192,85583,325814,278,111998255,175,31047600,Tus Series Favoritas
People,IN,"Feb 18th, 2017",$8.6K - $138.2K,$103.6K - $1.7M,B+,37,261382,453898,6,50239226,137,34541400,Ruhaan Arshad official
People,BR,"Aug 29th, 2009",$9.1K - $146K,$109.5K - $1.8M,B+,10,90129,2641597,552,813250199,31,36508500,Gabriela Almeida
People,TW,"Jan 5th, 2014",$10.2K - $163.7K,$122.8K - $2M,B+,15,19583,559305,50893,1021953092,32,40921800,SETN三立新聞網
People,,"Jul 11th, 2018",$8.4K - $134.4K,$100.8K - $1.6M,B+,-20,78832,664461,432,269534518,-12,33591000,Cocho Late TV Plus
People,,"Jul 9th, 2018",$10K - $160K,$120K - $1.9M,B+,16,107138,546568,191,171420958,36,39994800,Suman Kumar
People,US,"Dec 29th, 2015",$10.2K - $162.8K,$122.1K - $2M,B+,-237,257047,280387,28,44177249,-1,40693800,Pionmo Candy Show
People,VN,"May 21st, 2014",$8.5K - $135.9K,$101.9K - $1.6M,B+,30,86992,3077111,3184,1403405825,21,33963900,TXT
People,MA,"Dec 29th, 2015",$8.3K - $133.4K,$100.1K - $1.6M,B+,57,363706,738904,53,61436318,79,0,الطريق إلى الجنة Road to Heaven
People,JO,"Jul 8th, 2016",$4.9K - $78.2K,$58.6K - $937.9K,B+,42,4413,303831,70,79992823,611,19539630,ميوزك ستايل - music style
People,US,"Jan 11th, 2016",$10.7K - $170.7K,$128K - $2M,B+,42,82555,498464,621,213208419,61,42677400,Carlaylee HD
People,IN,"Dec 28th, 2015",$9K - $143.9K,$107.9K - $1.7M,B+,40,93423,1068700,433,393581752,56,35967600,Tarang Cine Productions
People,,"Nov 25th, 2017",$10.7K - $171.1K,$128.3K - $2.1M,B+,-29,97632,902317,182,304107866,-3,42779100,نايف&نواف /naif.nawaf
People,IN,"Jul 22nd, 2014",$11.4K - $182.6K,$136.9K - $2.2M,B+,23,250868,2003326,81,327820978,61,45645900,MyMissAnand
People,KR,"May 1st, 2014",$13.4K - $215.2K,$161.4K - $2.6M,B+,111,238015,666489,110,157146624,114,53798100,로미유 스토리[Romiyu Story]
People,UA,"Jul 25th, 2016",$0 - $0,$0 - $0,B+,97,82276,1615718,115,366104774,-163,-10231740,DenLion
People,BR,"Jan 22nd, 2015",$9.9K - $159K,$119.3K - $1.9M,B+,62,161916,1881434,1173,509050752,64,39751500,Somos 5inco
People,HK,"Mar 4th, 2017",$8.9K - $143K,$107.3K - $1.7M,B+,83,69091,160579,31,85343792,200,35754900,Shadow Music
People,,"Jan 11th, 2016",$11.4K - $181.8K,$136.4K - $2.2M,B+,3,59201,2269037,422,1594868681,10,45460800,Fizzy Fun Toys
People,,"Oct 26th, 2014",$6.6K - $106.3K,$79.7K - $1.3M,B+,282,48139,207891,1071,116053034,313,26577120,#Vivih Pink Love MLP oficial :3
People,US,"Mar 28th, 2016",$6.9K - $109.9K,$82.4K - $1.3M,B+,59,112468,1314919,26,246353602,-313,27463740,Romka TV
People,,"Dec 14th, 2013",$11.1K - $177.2K,$132.9K - $2.1M,B+,25,173747,4428318,508,1119821441,21,44304300,Alex Boyko
People,KW,"May 8th, 2017",$11.7K - $186.6K,$140K - $2.2M,B+,5,126816,2326470,1078,811818698,-1,46651800,naarkw نار
People,US,"Sep 5th, 2014",$11.6K - $185.7K,$139.3K - $2.2M,B+,13,150272,2856226,117,608956613,20,46436700,FAM JAM
People,CH,"Jun 6th, 2016",$9.6K - $153.4K,$115K - $1.8M,A-,-23,128916,4047011,89,1251009309,14,38341200,Funny Vines
People,TR,"Jan 28th, 2015",$11.2K - $179.7K,$134.7K - $2.2M,A-,147,56508,301240,4755,285556866,121,44914200,Söylemezsem Olmaz
People,,"Aug 17th, 2014",$9.7K - $154.9K,$116.2K - $1.9M,A-,28,50440,1192077,2039,1048484415,23,38729700,Tiny Treasures and Toys
People,,"Feb 1st, 2017",$9.5K - $151.6K,$113.7K - $1.8M,A-,156,448285,3739177,70,282819508,70,37908600,It's Mamix
People,BR,"Aug 26th, 2014",$7.2K - $116K,$87K - $1.4M,A-,8,208880,4250380,395,1199095805,-17,28997820,Canal da Lelê
